Sex,EE,H2Omg,RQ,Animal_ID,Deg_C,weight,experiment,StartTime,SD_VCO2,SD_VO2,SD_H2Omg,VO2,VCO2,StartDate,FQ,block,hour
F,0.24268567037399996,1.66386,0.9412201384766923,1015,22.24682,21.87,Low Fat,03:55:27,0.0147,0.00932,0.0162,0.8118767,0.7641547,2020-08-20,0.92266,cages13aug,3
F,0.23858687063400003,1.621279,0.9489704800627816,1015,22.261,21.87,Low Fat,04:11:27,0.0117,0.011,0.0178,0.7967937,0.7561337,2020-08-20,0.92266,cages13aug,4
F,0.231182241024,1.5128219999999999,0.9387770688783983,1015,22.233,21.87,Low Fat,04:51:27,0.0161,0.0178,0.0158,0.773813,0.7264379,2020-08-20,0.92266,cages13aug,4
F,0.168613299288,1.410006,0.9139128265146781,1015,22.27342,21.87,Low Fat,05:15:27,0.0178,0.0192,0.0167,0.5675166,0.5186607,2020-08-20,0.92266,cages13aug,5
F,0.108832161942,1.274956,0.9768374142614755,1015,22.231,21.87,Low Fat,05:39:27,0.013,0.0192,0.0162,0.3612291,0.3528621,2020-08-20,0.92266,cages13aug,5
F,0.105259436394,1.186153,0.9530853644890308,1015,22.26152,21.87,Low Fat,06:11:27,0.0157,0.0161,0.0257,0.3512081,0.3347313,2020-08-20,0.92266,cages13aug,6
F,0.21162058885799997,1.467321,0.8512691359487625,1015,24.0494,21.87,Low Fat,06:41:28,0.0142,0.0231,0.0198,0.7223773,0.6149375,2020-08-20,0.92266,cages13aug,6
F,0.120823630788,1.480401,0.9579831578027268,1015,24.45753,21.87,Low Fat,06:49:28,0.0163,0.0219,0.0167,0.4027028,0.3857825,2020-08-20,0.92266,cages13aug,6
F,0.05040764630999999,1.799574,0.9773068400474141,1015,26.73759,21.87,Low Fat,07:25:28,0.013,0.0204,0.0264,0.1672927,0.1634963,2020-08-20,0.92266,cages13aug,7
F,0.042673802472,1.976118,1.1567162645402604,1015,27.76282,21.87,Low Fat,07:41:28,0.00817,0.0141,0.0256,0.1362424,0.1575938,2020-08-20,0.92266,cages13aug,7
F,0.040908269303999996,2.532056,1.1807213524511946,1015,30.2618,21.87,Low Fat,08:21:28,0.0109886,0.0109,0.0199,0.1299448,0.1534286,2020-08-20,0.92266,cages13aug,8
